"trap_id","year","week","spp","spp0","key","zone","zone2","trap_date","method","trap_status","total","source","tl_match"
"FC-019",2018,24,"Tarsalis","Tarsalis","FC019|Tarsalis|2018|24","FC","FC",2018-06-11,"L","culex",7,"culex_sheet",TRUE
"FC-027",2016,27,"Pipiens","Pipiens","FC027|Pipiens|2016|27","FC","FC",2016-07-07,"L","culex",7,"culex_sheet",TRUE
"FC-027",2016,27,"Tarsalis","Tarsalis","FC027|Tarsalis|2016|27","FC","FC",2016-07-07,"L","culex",15,"culex_sheet",TRUE
"FC-031",2016,25,"Pipiens","Pipiens","FC031|Pipiens|2016|25","FC","FC",2016-06-21,"L","culex",32,"culex_sheet",TRUE
"FC-031",2016,25,"Tarsalis","Tarsalis","FC031|Tarsalis|2016|25","FC","FC",2016-06-21,"L","culex",0,"culex_sheet",TRUE
"FC-037",2016,28,"Pipiens","Pipiens","FC037|Pipiens|2016|28","FC","FC",2016-07-14,"L","culex",20,"culex_sheet",TRUE
"FC-037",2016,28,"Tarsalis","Tarsalis","FC037|Tarsalis|2016|28","FC","FC",2016-07-14,"L","culex",0,"culex_sheet",TRUE
"FC-039",2016,27,"Pipiens","Pipiens","FC039|Pipiens|2016|27","FC","FC",2016-07-07,"L","culex",1,"culex_sheet",TRUE
"FC-040GR",2017,30,"Pipiens","Pipiens","FC040GR|Pipiens|2017|30","FC","FC",2017-07-24,"G","culex",0,"culex_sheet",TRUE
"FC-040GR",2017,30,"Tarsalis","Tarsalis","FC040GR|Tarsalis|2017|30","FC","FC",2017-07-24,"G","culex",370,"culex_sheet",TRUE
"FC-040GR",2017,33,"Pipiens","Pipiens","FC040GR|Pipiens|2017|33","FC","FC",2017-08-14,"G","culex",22,"culex_sheet",TRUE
"FC-040GR",2017,33,"Tarsalis","Tarsalis","FC040GR|Tarsalis|2017|33","FC","FC",2017-08-14,"G","culex",0,"culex_sheet",TRUE
"FC-040GR",2018,32,"Pipiens","Pipiens","FC040GR|Pipiens|2018|32","FC","FC",2018-08-06,"G","culex",0,"culex_sheet",TRUE
"FC-040GR",2018,32,"Tarsalis","Tarsalis","FC040GR|Tarsalis|2018|32","FC","FC",2018-08-06,"G","culex",127,"culex_sheet",TRUE
"FC-041",2018,31,"Pipiens","Pipiens","FC041|Pipiens|2018|31","FC","FC",2018-08-01,"L","culex",18,"culex_sheet",TRUE
"FC-041",2018,31,"Tarsalis","Tarsalis","FC041|Tarsalis|2018|31","FC","FC",2018-08-01,"L","culex",50,"culex_sheet",TRUE
"FC-050",2016,27,"Pipiens","Pipiens","FC050|Pipiens|2016|27","FC","FC",2016-07-07,"L","culex",14,"culex_sheet",TRUE
"FC-050",2016,27,"Tarsalis","Tarsalis","FC050|Tarsalis|2016|27","FC","FC",2016-07-07,"L","culex",22,"culex_sheet",TRUE
"FC-054",2017,32,"Pipiens","Pipiens","FC054|Pipiens|2017|32","FC","FC",2017-08-08,"L","culex",3,"culex_sheet",TRUE
"FC-054",2017,32,"Tarsalis","Tarsalis","FC054|Tarsalis|2017|32","FC","FC",2017-08-08,"L","culex",36,"culex_sheet",TRUE
"FC-062",2017,35,"Pipiens","Pipiens","FC062|Pipiens|2017|35","FC","FC",2017-08-31,"L","culex",6,"culex_sheet",TRUE
"FC-062",2017,35,"Tarsalis","Tarsalis","FC062|Tarsalis|2017|35","FC","FC",2017-08-31,"L","culex",0,"culex_sheet",TRUE
"FC-066GR",2016,26,"Pipiens","Pipiens","FC066GR|Pipiens|2016|26","FC","FC",2016-06-27,"G","culex",19,"culex_sheet",TRUE
"FC-067",2016,26,"Pipiens","Pipiens","FC067|Pipiens|2016|26","FC","FC",2016-06-27,"L","culex",6,"culex_sheet",TRUE
"FC-067",2016,26,"Tarsalis","Tarsalis","FC067|Tarsalis|2016|26","FC","FC",2016-06-27,"L","culex",29,"culex_sheet",TRUE
"FC-075",2016,28,"Pipiens","Pipiens","FC075|Pipiens|2016|28","FC","FC",2016-07-12,"L","culex",28,"culex_sheet",TRUE
"FC-088GR",2016,26,"Pipiens","Pipiens","FC088GR|Pipiens|2016|26","FC","FC",2016-06-28,"G","culex",85,"culex_sheet",TRUE
"FC-088GR",2018,25,"Pipiens","Pipiens","FC088GR|Pipiens|2018|25","FC","FC",2018-06-19,"G","culex",0,"culex_sheet",TRUE
"FC-088GR",2018,25,"Tarsalis","Tarsalis","FC088GR|Tarsalis|2018|25","FC","FC",2018-06-19,"G","culex",36,"culex_sheet",TRUE
"FC-089GR",2018,29,"Pipiens","Pipiens","FC089GR|Pipiens|2018|29","FC","FC",2018-07-19,"G","culex",0,"culex_sheet",TRUE
"FC-089GR",2018,29,"Tarsalis","Tarsalis","FC089GR|Tarsalis|2018|29","FC","FC",2018-07-19,"G","culex",18,"culex_sheet",TRUE
"FC-090GR",2017,33,"Pipiens","Pipiens","FC090GR|Pipiens|2017|33","FC","FC",2017-08-16,"G","culex",3,"culex_sheet",TRUE
"FC-090GR",2017,33,"Tarsalis","Tarsalis","FC090GR|Tarsalis|2017|33","FC","FC",2017-08-16,"G","culex",1,"culex_sheet",TRUE
"FC-090GR",2018,28,"Pipiens","Pipiens","FC090GR|Pipiens|2018|28","FC","FC",2018-07-11,"G","culex",0,"culex_sheet",TRUE
"FC-090GR",2018,28,"Tarsalis","Tarsalis","FC090GR|Tarsalis|2018|28","FC","FC",2018-07-11,"G","culex",50,"culex_sheet",TRUE
"FC-090GR",2018,30,"Pipiens","Pipiens","FC090GR|Pipiens|2018|30","FC","FC",2018-07-25,"G","culex",0,"culex_sheet",TRUE
"FC-090GR",2018,30,"Tarsalis","Tarsalis","FC090GR|Tarsalis|2018|30","FC","FC",2018-07-25,"G","culex",123,"culex_sheet",TRUE
