year,week,zone,spp,pools_L,pools_G,n_pools,pos_pools_L,pos_pools_G,n_pos_pools,mosq_L,mosq_G,mosq,trap_L,abund,pir,pir_lci,pir_uci,vi,vi_lci,vi_uci
2023,36,FC,Pipiens,30,10,40,1,2,3,369,122,491,54,6.83,0.0062,0.0017,0.0165,0.0423,0.0116,0.1127
2023,36,FC,Tarsalis,33,0,33,0,0,0,130,0,130,54,2.41,0.0000,0.0000,0.0264,0,0,0.0636
2023,36,FC,All,63,10,73,1,2,3,499,122,621,108,9.24,0.0046,0.0013,0.0191,0.0423,0.0116,0.1763
2023,36,LV,Pipiens,4,0,4,0,0,0,55,0,55,6,9.17,0.0000,0.0000,0.0429,0,0,0.3934
2023,36,LV,Tarsalis,5,0,5,0,0,0,46,0,46,6,7.67,0.0000,0.0000,0.0541,0,0,0.4149
2023,36,LV,All,9,0,9,0,0,0,101,0,101,12,16.84,0.0000,0.0000,0.0480,0,0,0.8083
2023,36,BC,Tarsalis,5,0,5,0,0,0,13,0,13,5,2.6,0.0000,0.0000,0.1875,0,0,0.4875
2023,36,BC,All,5,0,5,0,0,0,13,0,13,5,2.6,0.0000,0.0000,0.1875,0,0,0.4875
2023,37,NW,Pipiens,5,2,7,0,0,0,14,9,23,9,1.56,0.0000,0.0000,0.1101,0,0,0.1718
2023,37,NW,All,5,2,7,0,0,0,14,9,23,9,1.56,0.0000,0.0000,0.1101,0,0,0.1718
2023,37,NE,Pipiens,11,2,13,0,2,2,312,42,354,10,31.2,0.0057,0.0011,0.0183,0.1778,0.0343,0.571
2023,37,NE,Tarsalis,3,0,3,0,0,0,11,0,11,10,1.1,0.0000,0.0000,0.1884,0,0,0.2072
2023,37,NE,All,14,2,16,0,2,2,323,42,365,20,32.3,0.0055,0.0011,0.0241,0.1778,0.0343,0.7782
2023,37,SE,Pipiens,12,3,15,0,0,0,101,29,130,15,6.73,0.0000,0.0000,0.0254,0,0,0.1709
2023,37,SE,Tarsalis,7,0,7,0,0,0,8,0,8,15,0.53,0.0000,0.0000,0.3140,0,0,0.1664
2023,37,SE,All,19,3,22,0,0,0,109,29,138,30,7.26,0.0000,0.0000,0.0465,0,0,0.3373
2023,37,SW,Pipiens,5,1,6,0,0,0,12,5,17,9,1.33,0.0000,0.0000,0.1471,0,0,0.1956
2023,37,SW,Tarsalis,1,0,1,0,0,0,4,0,4,9,0.44,0.0000,0.0000,0.3259,0,0,0.1434
2023,37,SW,All,6,1,7,0,0,0,16,5,21,18,1.77,0.0000,0.0000,0.1915,0,0,0.339
2023,37,FC,Pipiens,33,8,41,0,2,2,439,85,524,43,10.21,0.0039,0.0007,0.0126,0.0398,0.0071,0.1286
2023,37,FC,Tarsalis,11,0,11,0,0,0,23,0,23,43,0.53,0.0000,0.0000,0.1248,0,0,0.0661
2023,37,FC,All,44,8,52,0,2,2,462,85,547,86,10.74,0.0037,0.0007,0.0181,0.0398,0.0071,0.1947
2024,23,NW,Pipiens,3,1,4,0,0,0,4,5,9,9,0.44,0.0000,0.0000,0.2346,0,0,0.1032
2024,23,NW,Tarsalis,4,0,4,0,0,0,11,0,11,9,1.22,0.0000,0.0000,0.2072,0,0,0.2528
2024,23,NW,All,7,1,8,0,0,0,15,5,20,18,1.66,0.0000,0.0000,0.2145,0,0,0.356
2024,23,NE,Pipiens,3,2,5,0,0,0,5,7,12,10,0.5,0.0000,0.0000,0.2045,0,0,0.1022
2024,23,NE,Tarsalis,6,1,7,0,0,0,25,1,26,10,2.5,0.0000,0.0000,0.0982,0,0,0.2455
